accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
1811079,Lepidoptera,Erebidae,Hypercompe,Hypercompe scribonia,Hypercompe scribonia,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1817797,Lepidoptera,Erebidae,Hyphantria,Hyphantria cunea,Hyphantria cunea,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1816889,Lepidoptera,Erebidae,Hyphoraia,Hyphoraia testudinaria,Hyphoraia testudinaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9407200,Lepidoptera,Erebidae,Idia,Idia aemula,Idia aemula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9627917,Lepidoptera,Erebidae,Idia,Idia lubricalis,Idia lubricalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
8326103,Lepidoptera,Erebidae,Laelia,Laelia coenosa,Laelia coenosa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1769103,Lepidoptera,Erebidae,Laspeyria,Laspeyria flexula,Laspeyria flexula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820039,Lepidoptera,Erebidae,Leucoma,Leucoma salicis,Leucoma salicis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5115771,Lepidoptera,Erebidae,Lithosia,Lithosia quadra,Lithosia quadra,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532412,Lepidoptera,Erebidae,Lygephila,Lygephila craccae,Lygephila craccae,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532405,Lepidoptera,Erebidae,Lygephila,Lygephila pastinum,Lygephila pastinum,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820406,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,Lymantria dispar,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820372,Lepidoptera,Erebidae,Lymantria,Lymantria monacha,Lymantria monacha,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5771982,Lepidoptera,Erebidae,Macrochilo,Macrochilo cribrumalis,Macrochilo cribrumalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1813114,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata,Miltochrista miniata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1790816,Lepidoptera,Erebidae,Minucia,Minucia lunaris,Minucia lunaris,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5116416,Lepidoptera,Erebidae,Nudaria,Nudaria mundana,Nudaria mundana,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1788553,Lepidoptera,Erebidae,Ophiusa,Ophiusa tirhaca,Ophiusa tirhaca,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1819873,Lepidoptera,Erebidae,Orgyia,Orgyia antiqua,Orgyia antiqua,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
7657803,Lepidoptera,Erebidae,Orgyia,Orgyia recens,Orgyia recens,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532453,Lepidoptera,Erebidae,Pandesma,Pandesma robusta,Pandesma robusta,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532516,Lepidoptera,Erebidae,Paracolax,Paracolax tristalis,Paracolax tristalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1780150,Lepidoptera,Erebidae,Parascotia,Parascotia fuliginaria,Parascotia fuliginaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1808752,Lepidoptera,Erebidae,Parasemia,Parasemia plantaginis,Parasemia plantaginis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532500,Lepidoptera,Erebidae,Pechipogo,Pechipogo plumigeralis,Pechipogo plumigeralis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1772793,Lepidoptera,Erebidae,Pechipogo,Pechipogo strigilata,Pechipogo strigilata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5117400,Lepidoptera,Erebidae,Pelosia,Pelosia muscerda,Pelosia muscerda,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5117399,Lepidoptera,Erebidae,Pelosia,Pelosia obtusa,Pelosia obtusa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1804071,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa,Phragmatobia fuliginosa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1760246,Lepidoptera,Erebidae,Phytometra,Phytometra viridaria,Phytometra viridaria,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1807881,Lepidoptera,Erebidae,Pyrrharctia,Pyrrharctia isabella,Pyrrharctia isabella,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1769897,Lepidoptera,Erebidae,Rivula,Rivula sericealis,Rivula sericealis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113036,Lepidoptera,Erebidae,Schrankia,Schrankia costaestrigalis,Schrankia costaestrigalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113002,Lepidoptera,Erebidae,Schrankia,Schrankia intermedialis,Schrankia intermedialis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113030,Lepidoptera,Erebidae,Schrankia,Schrankia taenialis,Schrankia taenialis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1798449,Lepidoptera,Erebidae,Scoliopteryx,Scoliopteryx libatrix,Scoliopteryx libatrix,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5116475,Lepidoptera,Erebidae,Setina,Setina irrorella,Setina irrorella,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1811896,Lepidoptera,Erebidae,Spilosoma,Spilosoma lubricipeda,Spilosoma lubricipeda,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
