accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1808450,Lepidoptera,Erebidae,Amata,Amata phegea,Amata phegea,99,ACCEPTED,EXACT,SPECIES,london01Jun2023
1785105,Lepidoptera,Erebidae,Anomis,Anomis sabulifera,Anomis sabulifera,99,ACCEPTED,EXACT,SPECIES,london01Jun2023
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,london01Jun2023
1803266,Lepidoptera,Erebidae,Antichloris,Antichloris eriphia,Antichloris eriphia,98,ACCEPTED,EXACT,SPECIES,london01Jun2023
