accepted_taxon_key,family_name,genus_name,search_species_name,gbif_species_name,image_count
9407200,Erebidae,Idia,Idia aemula,Idia aemula,1000
9627917,Erebidae,Idia,Idia lubricalis,Idia lubricalis,1000
8326103,Erebidae,Laelia,Laelia coenosa,Laelia coenosa,275
1769103,Erebidae,Laspeyria,Laspeyria flexula,Laspeyria flexula,1000
1820039,Erebidae,Leucoma,Leucoma salicis,Leucoma salicis,1000
5115771,Erebidae,Lithosia,Lithosia quadra,Lithosia quadra,1000
4532412,Erebidae,Lygephila,Lygephila craccae,Lygephila craccae,1000
4532405,Erebidae,Lygephila,Lygephila pastinum,Lygephila pastinum,1000
1820406,Erebidae,Lymantria,Lymantria dispar,Lymantria dispar,1000
1820372,Erebidae,Lymantria,Lymantria monacha,Lymantria monacha,1000
5771982,Erebidae,Macrochilo,Macrochilo cribrumalis,Macrochilo cribrumalis,1000
1813114,Erebidae,Miltochrista,Miltochrista miniata,Miltochrista miniata,1000
1790816,Erebidae,Minucia,Minucia lunaris,Minucia lunaris,758
5116416,Erebidae,Nudaria,Nudaria mundana,Nudaria mundana,1000
1788553,Erebidae,Ophiusa,Ophiusa tirhaca,Ophiusa tirhaca,556
1819873,Erebidae,Orgyia,Orgyia antiqua,Orgyia antiqua,1000
7657803,Erebidae,Orgyia,Orgyia recens,Orgyia recens,955
4532453,Erebidae,Pandesma,Pandesma robusta,Pandesma robusta,54
4532516,Erebidae,Paracolax,Paracolax tristalis,Paracolax tristalis,1000
1780150,Erebidae,Parascotia,Parascotia fuliginaria,Parascotia fuliginaria,1000
1808752,Erebidae,Parasemia,Parasemia plantaginis,Parasemia plantaginis,996
4532500,Erebidae,Pechipogo,Pechipogo plumigeralis,Pechipogo plumigeralis,116
1765751,Noctuidae,Tathorhynchus,Tathorhynchus exsiccata,Tathorhynchus exsiccata,338
1967873,Geometridae,Abraxas,Abraxas grossulariata,Abraxas grossulariata,1000
1967803,Geometridae,Abraxas,Abraxas pantaria,Abraxas pantaria,77
1967815,Geometridae,Abraxas,Abraxas sylvata,Abraxas sylvata,1000
7681733,Geometridae,Acasis,Acasis viretata,Acasis viretata,1000
1973327,Geometridae,Adactylotis,Adactylotis contaminaria,Adactylotis contaminaria,58
1990150,Geometridae,Aethalura,Aethalura punctulata,Aethalura punctulata,1000
5769072,Geometridae,Agriopis,Agriopis aurantiaria,Agriopis aurantiaria,1000
5769062,Geometridae,Agriopis,Agriopis leucophaearia,Agriopis leucophaearia,1000
5769068,Geometridae,Agriopis,Agriopis marginaria,Agriopis marginaria,1000
5143477,Geometridae,Alcis,Alcis jubata,Alcis jubata,680
5143380,Geometridae,Alcis,Alcis repandata,Alcis repandata,1000
4524403,Geometridae,Aleucis,Aleucis distinctata,Aleucis distinctata,772
5143947,Geometridae,Alsophila,Alsophila aescularia,Alsophila aescularia,1000
1965913,Geometridae,Angerona,Angerona prunaria,Angerona prunaria,1000
1975793,Geometridae,Anticlea,Anticlea derivata,Anticlea derivata,1000
1975571,Geometridae,Anticollix,Anticollix sparsata,Anticollix sparsata,975
1962860,Geometridae,Apeira,Apeira syringaria,Apeira syringaria,1000
5149474,Geometridae,Aplasta,Aplasta ononaria,Aplasta ononaria,398
