accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1770821,Lepidoptera,Noctuidae,Agrotis,Agrotis trux,Agrotis trux,99,ACCEPTED,EXACT,SPECIES,london31May2023
1770880,Lepidoptera,Noctuidae,Agrotis,Agrotis vestigialis,Agrotis vestigialis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534719,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae,Allophyes oxyacanthae,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771391,Lepidoptera,Noctuidae,Amphipoea,Amphipoea crinanensis,Amphipoea crinanensis,99,ACCEPTED,EXACT,SPECIES,london31May2023
7725644,Lepidoptera,Noctuidae,Amphipoea,Amphipoea fucosa,Amphipoea fucosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771429,Lepidoptera,Noctuidae,Amphipoea,Amphipoea lucens,Amphipoea lucens,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771385,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea,Amphipoea oculea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1766128,Lepidoptera,Noctuidae,Amphipyra,Amphipyra berbera,Amphipyra berbera,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534691,Lepidoptera,Noctuidae,Amphipyra,Amphipyra effusa,Amphipyra effusa,98,ACCEPTED,EXACT,SPECIES,london31May2023
1766137,Lepidoptera,Noctuidae,Amphipyra,Amphipyra pyramidea,Amphipyra pyramidea,98,ACCEPTED,EXACT,SPECIES,london31May2023
1766210,Lepidoptera,Noctuidae,Amphipyra,Amphipyra tragopoginis,Amphipyra tragopoginis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1766646,Lepidoptera,Noctuidae,Anaplectoides,Anaplectoides prasina,Anaplectoides prasina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789553,Lepidoptera,Noctuidae,Anarta,Anarta melanopa,Anarta melanopa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789580,Lepidoptera,Noctuidae,Anarta,Anarta myrtilli,Anarta myrtilli,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534166,Lepidoptera,Noctuidae,Anarta,Anarta trifolii,Anarta trifolii,99,ACCEPTED,EXACT,SPECIES,london31May2023
10263995,Lepidoptera,Noctuidae,Agrochola,Anchoscelis haematidea,Anchoscelis haematidea,98,DOUBTFUL,EXACT,SPECIES,london31May2023
10113008,Lepidoptera,Noctuidae,Agrochola,Anchoscelis helvola,Anchoscelis helvola,98,DOUBTFUL,EXACT,SPECIES,london31May2023
1789982,Lepidoptera,Noctuidae,Agrochola,Anchoscelis litura,Agrochola litura,99,SYNONYM,EXACT,SPECIES,london31May2023
9510363,Lepidoptera,Noctuidae,Agrochola,Anchoscelis lunosa,Anchoscelis lunosa,98,DOUBTFUL,EXACT,SPECIES,london31May2023
6544687,Lepidoptera,Noctuidae,Anorthoa,Anorthoa munda,Anorthoa munda,99,ACCEPTED,EXACT,SPECIES,london31May2023
1786902,Lepidoptera,Noctuidae,Antitype,Antitype chi,Antitype chi,99,ACCEPTED,EXACT,SPECIES,london31May2023
8007222,Lepidoptera,Noctuidae,Apamea,Apamea anceps,Apamea anceps,98,ACCEPTED,EXACT,SPECIES,london31May2023
1796169,Lepidoptera,Noctuidae,Apamea,Apamea crenata,Apamea crenata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796139,Lepidoptera,Noctuidae,Apamea,Apamea epomidion,Apamea epomidion,99,ACCEPTED,EXACT,SPECIES,london31May2023
