"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Geometridae","Crocallis elinguaria","(Linnaeus, 1758)","Scalloped Oak","NBNSYS0000006012","NBNSYS0000006012","NBNORG0000009230"
"Geometridae","Cyclophora albipunctata","(Hufnagel, 1767)","Birch Mocha","NBNSYS0000005750","NBNSYS0000005750","NBNORG0000009072"
"Geometridae","Cyclophora annularia","(Fabricius, 1775)","Mocha","NBNSYS0100002702","NBNSYS0100002702","NBNORG0000041713"
"Geometridae","Cyclophora linearia","(Hübner, [1799])","Clay Triple-lines","NHMSYS0021143894","NHMSYS0021143894","NBNORG0000057882"
"Geometridae","Cyclophora pendularia","(Clerck, 1759)","Dingy Mocha","NBNSYS0000005748","NBNSYS0000005748","NBNORG0000009071"
"Geometridae","Cyclophora porata","(Linnaeus, 1767)","False Mocha","NBNSYS0000005752","NBNSYS0000005752","NBNORG0000009073"
"Geometridae","Cyclophora punctaria","(Linnaeus, 1758)","Maiden's Blush","NBNSYS0000005753","NBNSYS0000005753","NBNORG0000009074"
"Geometridae","Cyclophora puppillaria","(Hübner, [1799])","Blair's Mocha","NHMSYS0021143890","NHMSYS0021143890","NBNORG0000057883"
"Geometridae","Cyclophora ruficiliaria","(Herrich-Schäffer, 1855)","Jersey Mocha","NHMSYS0020758190","NHMSYS0020758190","NBNORG0000104236"
"Geometridae","Deileptenia ribeata","(Clerck, 1759)","Satin Beauty","NBNSYS0000006032","NBNSYS0000006032","NBNORG0000009242"
"Geometridae","Dyscia fagaria","(Thunberg, 1784)","Grey Scalloped Bar","NBNSYS0000006061","NBNSYS0000006061","NBNORG0000009258"
"Geometridae","Dysstroma citrata","(Linnaeus, 1761)","Dark Marbled Carpet","NBNSYS0000146496","NBNSYS0000146496","NBNORG0000009134"
"Geometridae","Dysstroma truncata","(Hufnagel, 1767)","Common Marbled Carpet","NBNSYS0000146497","NBNSYS0000146497","NBNORG0000009136"
"Geometridae","Earophila badiata","([Denis & Schiffermüller], 1775)","Shoulder Stripe","NBNSYS0000146502","NBNSYS0000146502","NBNORG0000057458"
"Geometridae","Ecliptopera silaceata","([Denis & Schiffermüller], 1775)","Small Phoenix","NHMSYS0021143991","NHMSYS0021143991","NBNORG0000057976"
"Geometridae","Ectropis crepuscularia","([Denis & Schiffermüller], 1775)","Engrailed/Small Engrailed","NHMSYS0021144249","NHMSYS0021144249","NBNORG0000009247"
"Geometridae","Electrophaes corylata","(Thunberg, 1792)","Broken-barred Carpet","NBNSYS0000005853","NBNSYS0000005853","NBNORG0000009140"
"Geometridae","Ematurga atomaria","(Linnaeus, 1758)","Common Heath","NBNSYS0000006044","NBNSYS0000006044","NBNORG0000009248"
"Geometridae","Ennomos alniaria","(Linnaeus, 1758)","Canary-shouldered Thorn","NBNSYS0000006004","NBNSYS0000006004","NBNORG0000009225"
"Geometridae","Ennomos autumnaria","(Werneburg, 1859)","Large Thorn","NBNSYS0000006002","NBNSYS0000006002","NBNORG0000058049"
"Geometridae","Ennomos erosaria","([Denis & Schiffermüller], 1775)","September Thorn","NHMSYS0021144194","NHMSYS0021144194","NBNORG0000058050"
"Geometridae","Ennomos fuscantaria","(Haworth, 1809)","Dusky Thorn","NBNSYS0000006005","NBNSYS0000006005","NBNORG0000009226"
"Geometridae","Ennomos quercaria","(Hübner, 1813)","Clouded August Thorn","NHMSYS0000502381","NHMSYS0000502381","NBNORG0000058051"
"Geometridae","Ennomos quercinaria","(Hufnagel, 1767)","August Thorn","NBNSYS0000006003","NBNSYS0000006003","NBNORG0000009224"
"Geometridae","Ennomos subsignaria","(Hübner, 1823)",NULL,"NBNSYS0100003015","NBNSYS0100003015","NBNORG0000041898"
"Geometridae","Entephria caesiata","([Denis & Schiffermüller], 1775)","Grey Mountain Carpet","NHMSYS0021143952","NHMSYS0021143952","NBNORG0000058052"
"Geometridae","Entephria flavicinctata","(Hübner, [1813])","Yellow-ringed Carpet","NHMSYS0000519698","NHMSYS0000519698","NBNORG0000059760"
"Geometridae","Epione repandaria","(Hufnagel, 1767)","Bordered Beauty","NBNSYS0000005998","NBNSYS0000005998","NBNORG0000009221"
"Geometridae","Epione vespertaria","(Linnaeus, 1767)","Dark Bordered Beauty","NBNSYS0100003050","NBNSYS0100003050","NBNORG0000041917"
"Geometridae","Epirrhoe alternata","(Müller, 1764)","Common Carpet","NHMSYS0000519763","NHMSYS0000519763","NBNORG0000059773"
"Geometridae","Epirrhoe galiata","([Denis & Schiffermüller], 1775)","Galium Carpet","NHMSYS0021143939","NHMSYS0021143939","NBNORG0000058114"
"Geometridae","Epirrhoe rivata","(Hübner, [1813])","Wood Carpet","NHMSYS0021143938","NHMSYS0021143938","NBNORG0000058115"
"Geometridae","Epirrhoe tristata","(Linnaeus, 1758)","Small Argent & Sable","NBNSYS0000005815","NBNSYS0000005815","NBNORG0000009118"
"Geometridae","Epirrita autumnata","(Borkhausen, 1794)","Autumnal Moth","NBNSYS0000005877","NBNSYS0000005877","NBNORG0000009153"
"Geometridae","Epirrita christyi","(Allen, 1906)","Pale November Moth","NBNSYS0000005876","NBNSYS0000005876","NBNORG0000009152"
"Geometridae","Epirrita dilutata","([Denis & Schiffermüller], 1775)","November Moth","NHMSYS0021144014","NHMSYS0021144014","NBNORG0000058116"
"Geometridae","Epirrita filigrammaria","(Herrich-Schäffer, 1846)","Small Autumnal Moth","NHMSYS0021144016","NHMSYS0021144016","NBNORG0000058117"
"Geometridae","Erannis defoliaria","(Clerck, 1759)","Mottled Umber","NBNSYS0000006026","NBNSYS0000006026","NBNORG0000009238"
"Geometridae","Euchoeca nebulata","(Scopoli, 1763)","Dingy Shell","NBNSYS0000005965","NBNSYS0000005965","NBNORG0000009203"
"Geometridae","Eulithis mellinata","(Fabricius, 1787)","Spinach","NBNSYS0000005837","NBNSYS0000005837","NBNORG0000009131"
"Geometridae","Eulithis populata","(Linnaeus, 1758)","Northern Spinach","NBNSYS0000005836","NBNSYS0000005836","NBNORG0000009130"
"Geometridae","Eulithis prunata","(Linnaeus, 1758)","Phoenix","NBNSYS0000005834","NBNSYS0000005834","NBNORG0000009128"
"Geometridae","Eulithis testata","(Linnaeus, 1761)","Chevron","NBNSYS0000005835","NBNSYS0000005835","NBNORG0000009129"
"Geometridae","Euphyia biangulata","(Haworth, 1809)","Cloaked Carpet","NBNSYS0000005873","NBNSYS0000005873","NBNORG0000009150"
"Geometridae","Euphyia unangulata","(Haworth, 1809)","Sharp-angled Carpet","NBNSYS0000005874","NBNSYS0000005874","NBNORG0000009151"
"Geometridae","Eupithecia abbreviata","Stephens, 1831","Brindled Pug","NBNSYS0000005940","NBNSYS0000005940","NBNORG0000009188"
"Geometridae","Eupithecia abietaria","(Goeze, 1781)","Cloaked Pug","NBNSYS0000005897","NBNSYS0000005897","NBNORG0000009167"
"Geometridae","Eupithecia absinthiata","(Clerck, 1759)","Wormwood Pug","NBNSYS0000005918","NBNSYS0000005918","NBNORG0000009177"
"Geometridae","Eupithecia assimilata","Doubleday, 1856","Currant Pug","NBNSYS0000005920","NBNSYS0000005920","NBNORG0000009178"
"Geometridae","Eupithecia breviculata","(Donzel, 1837)","Rusty-shouldered Pug","NHMSYS0021563570","NHMSYS0021563570","NBNORG0000133820"
"Geometridae","Eupithecia cauchiata","(Duponchel, 1831)","Doubleday's Pug","NBNSYS0000005917","NBNSYS0000005917","NBNORG0000009176"
"Geometridae","Eupithecia centaureata","([Denis & Schiffermüller], 1775)","Lime-speck Pug","NHMSYS0021144104","NHMSYS0021144104","NBNORG0000058180"
"Geometridae","Eupithecia denotata","(Hübner, [1813])",NULL,"NHMSYS0000520028","NHMSYS0000520028","NBNORG0000059825"
"Geometridae","Eupithecia distinctaria","Herrich-Schäffer, 1848","Thyme Pug","NHMSYS0000520033","NHMSYS0000520033","NBNORG0000059826"
"Geometridae","Eupithecia dodoneata","Guenée, [1858]","Oak-tree Pug","NHMSYS0021144087","NHMSYS0021144087","NBNORG0000058184"
"Geometridae","Eupithecia egenaria","Herrich-Schäffer, 1848","Fletcher's Pug","NHMSYS0000502597","NHMSYS0000502597","NBNORG0000058185"
"Geometridae","Eupithecia exiguata","(Hübner, [1813])","Mottled Pug","NHMSYS0021144124","NHMSYS0021144124","NBNORG0000059827"
"Geometridae","Eupithecia expallidata","Doubleday, 1856","Bleached Pug","NBNSYS0000005921","NBNSYS0000005921","NBNORG0000009179"
"Geometridae","Eupithecia extensaria","(Freyer, 1844)","Scarce Pug","NHMSYS0000520043","NHMSYS0000520043","NBNORG0000059828"
"Geometridae","Eupithecia haworthiata","Doubleday, 1856","Haworth's Pug","NHMSYS0000502600","NHMSYS0000502600","NBNORG0000058188"
"Geometridae","Eupithecia icterata","(Villers, 1789)","Tawny Speckled Pug","NBNSYS0000005926","NBNSYS0000005926","NBNORG0000009182"
"Geometridae","Eupithecia indigata","(Hübner, [1813])","Ochreous Pug","NHMSYS0021144101","NHMSYS0021144101","NBNORG0000058190"
"Geometridae","Eupithecia innotata","(Hufnagel, 1767)","Angle-barred Pug","NBNSYS0000005936","NBNSYS0000005936","NBNORG0000009186"
"Geometridae","Eupithecia insigniata","(Hübner, 1790)","Pinion-spotted Pug","NHMSYS0000502605","NHMSYS0000502605","NBNORG0000058193"
"Geometridae","Eupithecia intricata","(Zetterstedt, 1839)",NULL,"NBNSYS0000005912","NBNSYS0000005912","NBNORG0000009171"
"Geometridae","Eupithecia inturbata","(Hübner, [1817])","Maple Pug","NHMSYS0021144075","NHMSYS0021144075","NBNORG0000058195"
"Geometridae","Eupithecia irriguata","(Hübner, [1813])","Marbled Pug","NHMSYS0021144100","NHMSYS0021144100","NBNORG0000058196"
"Geometridae","Eupithecia lariciata","(Freyer, 1841)","Larch Pug","NHMSYS0021144095","NHMSYS0021144095","NBNORG0000009190"
"Geometridae","Eupithecia linariata","([Denis & Schiffermüller], 1775)","Toadflax Pug","NHMSYS0021144079","NHMSYS0021144079","NBNORG0000058197"
"Geometridae","Eupithecia massiliata",NULL,"Epping Pug","NHMSYS0001703671","NHMSYS0001703671","NBNORG0000086953"
"Geometridae","Eupithecia millefoliata","Rössler, 1866","Yarrow Pug","NHMSYS0000502610","NHMSYS0000502610","NBNORG0000058198"
"Geometridae","Eupithecia nanata","(Hübner, [1813])","Narrow-winged Pug","NHMSYS0021144098","NHMSYS0021144098","NBNORG0000058199"
"Geometridae","Eupithecia phoeniceata","(Rambur, 1834)","Cypress Pug","NBNSYS0000005943","NBNSYS0000005943","NBNORG0000009189"
"Geometridae","Eupithecia pimpinellata","(Hübner, [1813])","Pimpinel Pug","NHMSYS0021144097","NHMSYS0021144097","NBNORG0000058200"
"Geometridae","Eupithecia plumbeolata","(Haworth, 1809)","Lead-coloured Pug","NBNSYS0000005896","NBNSYS0000005896","NBNORG0000009166"
"Geometridae","Eupithecia pulchellata","Stephens, 1831","Foxglove Pug","NHMSYS0000550501","NHMSYS0000550501","NBNORG0000062449"
"Geometridae","Eupithecia pusillata","([Denis & Schiffermüller], 1775)","Juniper Pug","NHMSYS0021144088","NHMSYS0021144088","NBNORG0000059829"
"Geometridae","Eupithecia pygmaeata","(Hübner, [1799])","Marsh Pug","NHMSYS0021144081","NHMSYS0021144081","NBNORG0000058204"
"Geometridae","Eupithecia satyrata","(Hübner, [1813])","Satyr Pug","NBNSYS0000005916","NBNSYS0000005916","NBNORG0000009175"
"Geometridae","Eupithecia simpliciata","(Haworth, 1809)","Plain Pug","NBNSYS0000005930","NBNSYS0000005930","NBNORG0000009184"
"Geometridae","Eupithecia sinuosaria","(Eversmann, 1848)","Goosefoot Pug","NBNSYS0000005231","NBNSYS0000005231","NBNORG0000008849"
"Geometridae","Eupithecia subfuscata","(Haworth, 1809)","Grey Pug","NBNSYS0000005925","NBNSYS0000005925","NBNORG0000009181"
"Geometridae","Eupithecia subumbrata","([Denis & Schiffermüller], 1775)","Shaded Pug","NHMSYS0021144131","NHMSYS0021144131","NBNORG0000058208"
"Geometridae","Eupithecia succenturiata","(Linnaeus, 1758)","Bordered Pug","NBNSYS0000005927","NBNSYS0000005927","NBNORG0000009183"
"Geometridae","Eupithecia tantillaria","Boisduval, 1840","Dwarf Pug","NBNSYS0000005945","NBNSYS0000005945","NBNORG0000009191"
"Geometridae","Eupithecia tenuiata","(Hübner, [1813])","Slender Pug","NHMSYS0021144074","NHMSYS0021144074","NBNORG0000058209"
"Geometridae","Eupithecia tripunctaria","Herrich-Schäffer, 1852","White-spotted Pug","NHMSYS0000502622","NHMSYS0000502622","NBNORG0000058210"
"Geometridae","Eupithecia trisignaria","Herrich-Schäffer, 1848","Triple-spotted Pug","NHMSYS0000502623","NHMSYS0000502623","NBNORG0000058211"
"Geometridae","Eupithecia ultimaria","Boisduval, 1840","Channel Islands Pug","NBNSYS0000033137","NBNSYS0000033137","NBNORG0000023171"
"Geometridae","Eupithecia valerianata","(Hübner, [1813])","Valerian Pug","NHMSYS0021144121","NHMSYS0021144121","NBNORG0000058212"
"Geometridae","Eupithecia venosata","(Fabricius, 1787)","Netted Pug","NBNSYS0000005906","NBNSYS0000005906","NBNORG0000009169"
"Geometridae","Eupithecia virgaureata","Doubleday, 1861","Golden-rod Pug","NBNSYS0000005939","NBNSYS0000005939","NBNORG0000009187"
"Geometridae","Eupithecia vulgata","(Haworth, 1809)","Common Pug","NBNSYS0000005922","NBNSYS0000005922","NBNORG0000009180"
"Geometridae","Eustroma reticulata","([Denis & Schiffermüller], 1775)","Netted Carpet","NHMSYS0021143986","NHMSYS0021143986","NBNORG0000058223"
"Geometridae","Fagivorina arenaria","(Hufnagel, 1767)","Speckled Beauty","NBNSYS0000006038","NBNSYS0000006038","NBNORG0000009246"
"Geometridae","Gagitodes sagittata","(Fabricius, 1787)","Marsh Carpet","NHMSYS0021144066","NHMSYS0021144066","NBNORG0000009165"
"Geometridae","Gandaritis pyraliata","([Denis & Schiffermüller], 1775)","Barred Straw","NHMSYS0021143990","NHMSYS0021143990","NBNORG0000058176"
"Geometridae","Geometra papilionaria","(Linnaeus, 1758)","Large Emerald","NBNSYS0000005739","NBNSYS0000005739","NBNORG0000009065"
"Geometridae","Gnophos obfuscata","([Denis & Schiffermüller], 1775)","Scotch Annulet","NHMSYS0021144283","NHMSYS0021144283","NBNORG0000058268"
"Geometridae","Gymnoscelis rufifasciata","(Haworth, 1809)","Double-striped Pug","NBNSYS0000005950","NBNSYS0000005950","NBNORG0000009193"
"Geometridae","Hemistola chrysoprasaria","(Esper, 1795)","Small Emerald","NHMSYS0021144321","NHMSYS0021144321","NBNORG0000009069"
"Geometridae","Hemithea aestivaria","(Hübner, 1789)","Common Emerald","NHMSYS0021144330","NHMSYS0021144330","NBNORG0000058309"
"Geometridae","Horisme aquata","(Hübner, 1813)","Cumbrian Umber","NHMSYS0000502880","NHMSYS0000502880","NBNORG0000058333"
"Geometridae","Horisme radicaria","(La Harpe, 1855)","Cryptic Fern","NHMSYS0021297304","NHMSYS0021297304","NBNORG0000132275"
"Geometridae","Horisme tersata","([Denis & Schiffermüller], 1775)","Fern","NHMSYS0021144044","NHMSYS0021144044","NBNORG0000058334"
"Geometridae","Horisme vitalbata","([Denis & Schiffermüller], 1775)","Small Waved Umber","NHMSYS0021144043","NHMSYS0021144043","NBNORG0000058335"
"Geometridae","Hydrelia flammeolaria","(Hufnagel, 1767)","Small Yellow Wave","NBNSYS0000005967","NBNSYS0000005967","NBNORG0000009205"
"Geometridae","Hydrelia sylvata","([Denis & Schiffermüller], 1775)","Waved Carpet","NHMSYS0021144022","NHMSYS0021144022","NBNORG0000058337"
"Geometridae","Hydriomena furcata","(Thunberg, 1784)","July Highflyer","NBNSYS0000005857","NBNSYS0000005857","NBNORG0000009143"
"Geometridae","Hydriomena impluviata","([Denis & Schiffermüller], 1775)","May Highflyer","NHMSYS0021143961","NHMSYS0021143961","NBNORG0000058338"
"Geometridae","Hydriomena ruberata","(Freyer, [1831])","Ruddy Highflyer","NHMSYS0021143965","NHMSYS0021143965","NBNORG0000009144"
"Geometridae","Hylaea fasciaria","(Linnaeus, 1758)","Barred Red","NBNSYS0000006054","NBNSYS0000006054","NBNORG0000009255"
"Geometridae","Hypagyrtis unipunctata","(Haworth, 1809)","White Spot","NBNSYS0000005989","NBNSYS0000005989","NBNORG0000117559"
"Geometridae","Hypomecis punctinalis","(Scopoli, 1763)","Pale Oak Beauty","MM0001Z100758RH1","MM0001Z100758RH1","NBNORG0000006850"
"Geometridae","Hypomecis roboraria","([Denis & Schiffermüller], 1775)","Great Oak Beauty","NHMSYS0021144245","NHMSYS0021144245","NBNORG0000058350"
"Geometridae","Idaea aversata","(Linnaeus, 1758)","Riband Wave","NBNSYS0000005786","NBNSYS0000005786","NBNORG0000009098"
"Geometridae","Idaea biselata","(Hufnagel, 1767)","Small Fan-footed Wave","NBNSYS0000005775","NBNSYS0000005775","NBNORG0000009089"
"Geometridae","Idaea contiguaria","(Hübner, 1799)","Weaver's Wave","NHMSYS0000520548","NHMSYS0000520548","NBNORG0000059928"
"Geometridae","Idaea degeneraria","(Hübner, [1799])","Portland Ribbon Wave","NHMSYS0021143861","NHMSYS0021143861","NBNORG0000058355"
"Geometridae","Idaea dilutaria","(Hübner, [1799])","Silky Wave","NHMSYS0021143845","NHMSYS0021143845","NBNORG0000058356"
"Geometridae","Idaea dimidiata","(Hufnagel, 1767)","Single-dotted Wave","NBNSYS0000005781","NBNSYS0000005781","NBNORG0000009094"
"Geometridae","Idaea emarginata","(Linnaeus, 1758)","Small Scallop","NBNSYS0000005785","NBNSYS0000005785","NBNORG0000009097"
"Geometridae","Idaea fuscovenosa","(Goeze, 1781)","Dwarf Cream Wave","NBNSYS0000005778","NBNSYS0000005778","NBNORG0000009091"
"Geometridae","Idaea humiliata","(Hufnagel, 1767)","Isle of Wight Wave","NBNSYS0000005779","NBNSYS0000005779","NBNORG0000009092"
"Geometridae","Idaea inquinata","(Scopoli, 1763)","Rusty Wave","NBNSYS0000005776","NBNSYS0000005776","NBNORG0000009090"
"Geometridae","Idaea laevigata","(Scopoli, 1763)","Strange Wave","NBNSYS0000005773","NBNSYS0000005773","NBNORG0000009088"
"Geometridae","Idaea muricata","(Hufnagel, 1767)","Purple-bordered Gold","NBNSYS0000005771","NBNSYS0000005771","NBNORG0000009087"
"Geometridae","Idaea ochrata","(Scopoli, 1763)","Bright Wave","NHMSYS0000520553","NHMSYS0000520553","NBNORG0000059929"
"Geometridae","Idaea rusticata","([Denis & Schiffermüller], 1775)","Least Carpet","NHMSYS0021143842","NHMSYS0021143842","NBNORG0000059930"
"Geometridae","Idaea seriata","(Schrank, 1802)","Small Dusty Wave","NBNSYS0000005780","NBNSYS0000005780","NBNORG0000009093"
"Geometridae","Idaea serpentata","(Hufnagel, 1767)","Ochraceous Wave","NBNSYS0000005770","NBNSYS0000005770","NBNORG0000009086"
"Geometridae","Idaea straminata","(Borkhausen, 1794)","Plain Wave","NBNSYS0000005788","NBNSYS0000005788","NBNORG0000009099"
"Geometridae","Idaea subsericeata","(Haworth, 1809)","Satin Wave","NBNSYS0000005782","NBNSYS0000005782","NBNORG0000009095"
"Geometridae","Idaea sylvestraria","(Hübner, [1799])","Dotted Border Wave","NHMSYS0021143853","NHMSYS0021143853","NBNORG0000058359"
"Geometridae","Idaea trigeminata","(Haworth, 1809)","Treble Brown Spot","NBNSYS0000005784","NBNSYS0000005784","NBNORG0000009096"
"Geometridae","Isturgia limbaria","(Fabricius, 1775)","Frosted Yellow","NBNSYS0000005990","NBNSYS0000005990","NBNORG0000009215"
"Geometridae","Jodis lactearia","(Linnaeus, 1758)","Little Emerald","NBNSYS0000005747","NBNSYS0000005747","NBNORG0000009070"
"Geometridae","Lampropteryx otregiata","(Metcalfe, 1917)","Devon Carpet","NBNSYS0000005831","NBNSYS0000005831","NBNORG0000009125"
"Geometridae","Lampropteryx suffumata","([Denis & Schiffermüller], 1775)","Water Carpet","NHMSYS0021144007","NHMSYS0021144007","NBNORG0000058394"
"Geometridae","Larentia clavaria","(Haworth, 1809)","Mallow","NBNSYS0000005825","NBNSYS0000005825","NBNORG0000009122"
"Geometridae","Ligdia adustata","([Denis & Schiffermüller], 1775)","Scorched Carpet","NHMSYS0021144163","NHMSYS0021144163","NBNORG0000058412"
"Geometridae","Lithostege griseata","([Denis & Schiffermüller], 1775)","Grey Carpet","NHMSYS0021144148","NHMSYS0021144148","NBNORG0000058422"
"Geometridae","Lobophora halterata","(Hufnagel, 1767)","Seraphim","NBNSYS0000005970","NBNSYS0000005970","NBNORG0000009207"
"Geometridae","Lomaspilis marginata","(Linnaeus, 1758)","Clouded Border","NBNSYS0000005978","NBNSYS0000005978","NBNORG0000009213"
"Geometridae","Lomographa bimaculata","(Fabricius, 1775)","White-pinion Spotted","NBNSYS0000006049","NBNSYS0000006049","NBNORG0000009252"
"Geometridae","Lomographa temerata","([Denis & Schiffermüller], 1775)","Clouded Silver","NHMSYS0021144269","NHMSYS0021144269","NBNORG0000058428"
"Geometridae","Lycia hirtaria","(Clerck, 1759)","Brindled Beauty","NBNSYS0000006018","NBNSYS0000006018","NBNORG0000009233"
"Geometridae","Lycia lapponaria","(Boisduval, 1840)","Rannoch Brindled Beauty","NHMSYS0000520878","NHMSYS0000520878","NBNORG0000059993"
"Geometridae","Lycia zonaria","([Denis & Schiffermüller], 1775)","Belted Beauty","NHMSYS0000520883","NHMSYS0000520883","NBNORG0000059994"
"Geometridae","Lythria purpuraria","(Linnaeus, 1758)","Purple-barred Yellow","NBNSYS0000005790","NBNSYS0000005790","NBNORG0000009101"
"Geometridae","Macaria alternata","([Denis & Schiffermüller], 1775)","Sharp-angled Peacock","NBNSYS0100003853","NBNSYS0100003853","NBNORG0000058453"
"Geometridae","Macaria bicolorata","(Fabricius, 1798)","Dingy Angle","NBNSYS0100003854","NBNSYS0100003854","NBNORG0000042366"
"Geometridae","Macaria brunneata","(Thunberg, 1784)","Rannoch Looper","NHMSYS0021144169","NHMSYS0021144169","NBNORG0000042225"
"Geometridae","Macaria carbonaria","(Clerck, 1759)","Netted Mountain Moth","NBNSYS0100003855","NBNSYS0100003855","NBNORG0000042367"
"Geometridae","Macaria liturata","(Clerck, 1759)","Tawny-barred Angle","NBNSYS0100003856","NBNSYS0100003856","NBNORG0000042368"
"Geometridae","Macaria notata","(Linnaeus, 1758)","Peacock Moth","NBNSYS0100003857","NBNSYS0100003857","NBNORG0000042369"
"Geometridae","Macaria signaria","(Hübner, [1809])","Dusky Peacock","NHMSYS0021144167","NHMSYS0021144167","NBNORG0000042370"
"Geometridae","Macaria wauaria","(Linnaeus, 1758)","V-moth","NBNSYS0100003859","NBNSYS0100003859","NBNORG0000042371"
"Geometridae","Martania taeniata","(Stephens, 1831)","Barred Carpet","NHMSYS0021144064","NHMSYS0021144064","NBNORG0000009156"
"Geometridae","Melanthia procellata","([Denis & Schiffermüller], 1775)","Pretty Chalk Carpet","NHMSYS0021144045","NHMSYS0021144045","NBNORG0000058469"
"Geometridae","Menophra abruptaria","(Thunberg, 1792)","Waved Umber","NBNSYS0000006027","NBNSYS0000006027","NBNORG0000009239"
"Geometridae","Menophra japygiaria","(O. Costa, 1849)","Brassy Waved Umber","NHMSYS0020744371","NHMSYS0020744371","NBNORG0000103526"
"Geometridae","Mesoleuca albicillata","(Linnaeus, 1758)","Beautiful Carpet","NBNSYS0000005828","NBNSYS0000005828","NBNORG0000009123"
"Geometridae","Mesotype didymata","(Linnaeus, 1758)","Twin-spot Carpet","NHMSYS0021167155","NHMSYS0021167155","NBNORG0000122552"
"Geometridae","Microloxia herbaria","Hübner, 1808","Herb Emerald","NHMSYS0021164311","NHMSYS0021164311","NBNORG0000122298"
"Geometridae","Minoa murinata","(Scopoli, 1763)","Drab Looper","NBNSYS0000005969","NBNSYS0000005969","NBNORG0000009206"
"Geometridae","Nematocampa limbata","(Haworth, 1809)","Bordered Chequer","NBNSYS0000005991","NBNSYS0000005991","NBNORG0000009216"
"Geometridae","Nycterosea obstipata","(Fabricius, 1794)","Gem","NHMSYS0021143912","NHMSYS0021143912","NBNORG0000009104"
"Geometridae","Odezia atrata","(Linnaeus, 1758)","Chimney Sweep","NBNSYS0000005961","NBNSYS0000005961","NBNORG0000009200"
"Geometridae","Odontognophos dumetata","(Treitschke, 1827)","Irish Annulet","NHMSYS0000521663","NHMSYS0000521663","NBNORG0000060149"
"Geometridae","Odontopera bidentata","(Clerck, 1759)","Scalloped Hazel","NBNSYS0000006011","NBNSYS0000006011","NBNORG0000009229"
"Geometridae","Operophtera brumata","(Linnaeus, 1758)","Winter Moth","NBNSYS0000005879","NBNSYS0000005879","NBNORG0000009154"
"Geometridae","Operophtera fagata","(Scharfenberg, 1805)","Northern Winter Moth","NBNSYS0000005880","NBNSYS0000005880","NBNORG0000009155"
"Geometridae","Opisthograptis luteolata","(Linnaeus, 1758)","Brimstone Moth","NBNSYS0000005997","NBNSYS0000005997","NBNORG0000009220"
"Geometridae","Orthonama vittata","(Borkhausen, 1794)","Oblique Carpet","NBNSYS0000005792","NBNSYS0000005792","NBNORG0000009103"
"Geometridae","Ourapteryx sambucaria","(Linnaeus, 1758)","Swallow-tailed Moth","NBNSYS0000006013","NBNSYS0000006013","NBNORG0000009231"
"Geometridae","Pachycnemia hippocastanaria","(Hübner, [1799])","Horse Chestnut Moth","NHMSYS0021144181","NHMSYS0021144181","NBNORG0000058653"
"Geometridae","Paradarisa consonaria","(Hübner, [1799])","Square Spot","NHMSYS0021144257","NHMSYS0021144257","NBNORG0000058686"
"Geometridae","Parectropis similaria","(Hufnagel, 1767)","Brindled White-spot","NBNSYS0100004476","NBNSYS0100004476","NBNORG0000042789"
"Geometridae","Pareulype berberata","([Denis & Schiffermüller], 1775)","Barberry Carpet","NHMSYS0021144040","NHMSYS0021144040","NBNORG0000058700"
"Geometridae","Pasiphila chloerata","(Mabille, 1870)","Sloe Pug","NHMSYS0021144070","NHMSYS0021144070","NBNORG0000042795"
"Geometridae","Pasiphila debiliata","(Hübner, [1817])","Bilberry Pug","NHMSYS0021144071","NHMSYS0021144071","NBNORG0000042796"
"Geometridae","Pasiphila rectangulata","(Linnaeus, 1758)","Green Pug","NBNSYS0100004490","NBNSYS0100004490","NBNORG0000042797"
"Geometridae","Pelurga comitata","(Linnaeus, 1758)","Dark Spinach","NBNSYS0000005829","NBNSYS0000005829","NBNORG0000009124"
"Geometridae","Pennithera firmata","(Hübner, [1822])","Pine Carpet","NHMSYS0021143969","NHMSYS0021143969","NBNORG0000059130"
"Geometridae","Perconia strigillaria","(Hübner, [1787])","Grass Wave","NHMSYS0021144306","NHMSYS0021144306","NBNORG0000058724"
"Geometridae","Peribatodes ilicaria","(Geyer, [1833])","Lydd Beauty","NHMSYS0021144230","NHMSYS0021144230","NBNORG0000042826"
"Geometridae","Peribatodes rhomboidaria","([Denis & Schiffermüller], 1775)","Willow Beauty","NHMSYS0021144226","NHMSYS0021144226","NBNORG0000058725"
"Geometridae","Peribatodes secundaria","([Denis & Schiffermüller], 1775)","Feathered Beauty","NHMSYS0021144229","NHMSYS0021144229","NBNORG0000009240"
"Geometridae","Peribatodes umbraria","(Hübner, [1809])","Olive-tree Beauty","NHMSYS0021144228","NHMSYS0021144228","NBNORG0000108234"
"Geometridae","Perizoma affinitata","(Stephens, 1831)","Rivulet","NBNSYS0000005882","NBNSYS0000005882","NBNORG0000009157"
"Geometridae","Perizoma albulata","([Denis & Schiffermüller], 1775)","Grass Rivulet","NHMSYS0000522437","NHMSYS0000522437","NBNORG0000060302"
"Geometridae","Perizoma alchemillata","(Linnaeus, 1758)","Small Rivulet","NBNSYS0000005883","NBNSYS0000005883","NBNORG0000009158"
