"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Erebidae","Coscinia striata","(Linnaeus, 1758)","Feathered Footman","NHMSYS0021144408","NHMSYS0021144408","NBNORG0000009311"
"Erebidae","Cybosia mesomella","(Linnaeus, 1758)","Four-dotted Footman","NBNSYS0000006126","NBNSYS0000006126","NBNORG0000009304"
"Erebidae","Diacrisia sannio","(Linnaeus, 1758)","Clouded Buff","NBNSYS0000006145","NBNSYS0000006145","NBNORG0000009317"
"Erebidae","Diaphora mendica","(Clerck, 1759)","Muslin Moth","NBNSYS0000006149","NBNSYS0000006149","NBNORG0000009321"
"Erebidae","Dicallomera fascelina","(Linnaeus, 1758)","Dark Tussock","NBNSYS0000006113","NBNSYS0000006113","NBNORG0000009293"
"Erebidae","Dysauxes ancilla","(Linnaeus, 1767)","Handmaid","NBNSYS0000006157","NBNSYS0000006157","NBNORG0000009328"
"Erebidae","Dysgonia algira","(Linnaeus, 1767)","Passenger","NBNSYS0000006565","NBNSYS0000006565","NBNORG0000009569"
"Erebidae","Eilema caniola","(Hübner, [1808])","Hoary Footman","NHMSYS0021144420","NHMSYS0021144420","NBNORG0000057996"
"Erebidae","Eilema complana","(Linnaeus, 1758)","Scarce Footman","NBNSYS0000006133","NBNSYS0000006133","NBNORG0000009308"
"Erebidae","Eilema depressa","(Esper, 1787)","Buff Footman","NBNSYS0100002922","NBNSYS0100002922","NBNORG0000041865"
"Erebidae","Eilema griseola","(Hübner, [1803])","Dingy Footman","NHMSYS0021144417","NHMSYS0021144417","NBNORG0000057998"
"Erebidae","Eilema lurideola","(Zincken, 1817)","Common Footman","NBNSYS0000006136","NBNSYS0000006136","NBNORG0000009309"
"Erebidae","Eilema pygmaeola","(Doubleday, 1847)",NULL,"NBNSYS0000006132","NBNSYS0000006132","NBNORG0000009307"
"Erebidae","Eilema sororcula","(Hufnagel, 1766)","Orange Footman","NBNSYS0000006129","NBNSYS0000006129","NBNORG0000009306"
"Erebidae","Eublemma minutata","(Fabricius, 1794)","Scarce Marbled","NBNSYS0000006515","NBNSYS0000006515","NBNORG0000009540"
"Erebidae","Eublemma ostrina","(Hübner, [1808])","Purple Marbled","NHMSYS0021144443","NHMSYS0021144443","NBNORG0000058137"
"Erebidae","Eublemma parva","(Hübner, [1808])","Small Marbled","NHMSYS0021144444","NHMSYS0021144444","NBNORG0000058138"
"Erebidae","Eublemma paula","(Hübner, [1809])",NULL,"NHMSYS0021144442","NHMSYS0021144442","NBNORG0000117315"
"Erebidae","Eublemma purpurina","([Denis & Schiffermüller], 1775)","Beautiful Marbled","NHMSYS0001703670","NHMSYS0001703670","NBNORG0000086952"
"Erebidae","Euchromia lethe","(Fabricius, 1775)","Basker","NBNSYS0000006158","NBNSYS0000006158","NBNORG0000009329"
"Erebidae","Euclidia glyphica","(Linnaeus, 1758)","Burnet Companion","MM0001Z100DH5JN1","MM0001Z100DH5JN1","NBNORG0000006856"
"Erebidae","Euplagia quadripunctaria","(Poda, 1761)","Jersey Tiger","NBNSYS0000006153","NBNSYS0000006153","NBNORG0000009325"
"Erebidae","Euproctis chrysorrhoea","(Linnaeus, 1758)","Brown-tail","NBNSYS0000006115","NBNSYS0000006115","NBNORG0000009295"
"Erebidae","Euproctis similis","(Fuessly, 1775)","Yellow-tail","NBNSYS0000006116","NBNSYS0000006116","NBNORG0000009296"
"Erebidae","Grammodes bifasciata","(Petagna, 1786)","Parallel Lines","NHMSYS0021565579","NHMSYS0021565579","NBNORG0000133824"
"Erebidae","Grammodes stolida","(Fabricius, 1775)","Geometrician","NBNSYS0000006566","NBNSYS0000006566","NBNORG0000043025"
"Erebidae","Halysidota moeschleri","Rothschild, 1909",NULL,"NBNSYS0000006152","NBNSYS0000006152","NBNORG0000009324"
"Erebidae","Herminia grisealis","([Denis & Schiffermüller], 1775)","Small Fan-foot","NHMSYS0021144427","NHMSYS0021144427","NBNORG0000058311"
"Erebidae","Herminia tarsicrinalis","(Knoch, 1782)","Shaded Fan-foot","NBNSYS0000006595","NBNSYS0000006595","NBNORG0000009584"
"Erebidae","Herminia tarsipennalis","Treitschke, 1835","Fan-foot","NHMSYS0021144426","NHMSYS0021144426","NBNORG0000043613"
"Erebidae","Hypena crassalis","(Fabricius, 1787)","Beautiful Snout","NBNSYS0000006580","NBNSYS0000006580","NBNORG0000009577"
"Erebidae","Hypena lividalis","(Hübner, 1796)","Chevron Snout","NHMSYS0021157662","NHMSYS0021157662","NBNORG0000117439"
"Erebidae","Hypena obesalis","Treitschke, 1829","Paignton Snout","NHMSYS0021144366","NHMSYS0021144366","NBNORG0000058344"
"Erebidae","Hypena obsitalis","(Hübner, [1813])","Bloxworth Snout","NHMSYS0021144367","NHMSYS0021144367","NBNORG0000058345"
"Erebidae","Hypena proboscidalis","(Linnaeus, 1758)","Snout","NBNSYS0000006581","NBNSYS0000006581","NBNORG0000009578"
"Erebidae","Hypena rostralis","(Linnaeus, 1758)","Buttoned Snout","NBNSYS0000006584","NBNSYS0000006584","NBNORG0000009579"
"Erebidae","Hypenodes humidalis","Doubleday, 1850","Marsh Oblique-barred","MM0001Z100DMN711","MM0001Z100DMN711","NBNORG0000006857"
"Erebidae","Hypercompe scribonia","(Stoll, 1790)",NULL,"NBNSYS0100003567","NBNSYS0100003567","NBNORG0000042200"
"Erebidae","Hyphantria cunea","(Drury, 1773)","Autumn Webworm","NHMSYS0021157674","NHMSYS0021157674","NBNORG0000117441"
"Erebidae","Hyphoraia testudinaria","(Geoffroy, 1785)","Patton's Tiger","NHMSYS0021144400","NHMSYS0021144400","NBNORG0000097760"
"Erebidae","Idia aemula","Hübner, 1813","Waved Tabby","NHMSYS0000502937","NHMSYS0000502937","NBNORG0000058360"
"Erebidae","Idia lubricalis","(Geyer, 1832)","Twin-striped Tabby","NBNSYS0000006591","NBNSYS0000006591","NBNORG0000009583"
"Erebidae","Laelia coenosa","(Hübner, [1808])","Reed Tussock","NHMSYS0021144380","NHMSYS0021144380","NBNORG0000058385"
"Erebidae","Laspeyria flexula","([Denis & Schiffermüller], 1775)","Beautiful Hook-tip","NHMSYS0021144440","NHMSYS0021144440","NBNORG0000058400"
"Erebidae","Leucoma salicis","(Linnaeus, 1758)","White Satin Moth","NBNSYS0000006117","NBNSYS0000006117","NBNORG0000009297"
"Erebidae","Lithosia quadra","(Linnaeus, 1758)","Four-spotted Footman","NBNSYS0000006137","NBNSYS0000006137","NBNORG0000009310"
"Erebidae","Lygephila craccae","([Denis & Schiffermüller], 1775)","Scarce Blackneck","NHMSYS0021144436","NHMSYS0021144436","NBNORG0000058449"
"Erebidae","Lygephila pastinum","(Treitschke, 1826)","Blackneck","NBNSYS0000006570","NBNSYS0000006570","NBNORG0000009571"
"Erebidae","Lymantria dispar","(Linnaeus, 1758)","Gypsy Moth","NBNSYS0000006120","NBNSYS0000006120","NBNORG0000009299"
