,accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
95,-1,Lepidoptera,Noctuidae,Orthosia,Orthosia cruda,NotAvail,98,ACCEPTED,HIGHERRANK,GENUS,london31May2023
96,1798974,Lepidoptera,Noctuidae,Orthosia,Orthosia gothica,Orthosia gothica,99,ACCEPTED,EXACT,SPECIES,london31May2023
97,1798916,Lepidoptera,Noctuidae,Orthosia,Orthosia gracilis,Orthosia gracilis,98,ACCEPTED,EXACT,SPECIES,london31May2023
98,1799135,Lepidoptera,Noctuidae,Orthosia,Orthosia incerta,Orthosia incerta,99,ACCEPTED,EXACT,SPECIES,london31May2023
99,1799132,Lepidoptera,Noctuidae,Orthosia,Orthosia miniosa,Orthosia miniosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
100,1798931,Lepidoptera,Noctuidae,Orthosia,Orthosia opima,Orthosia opima,99,ACCEPTED,EXACT,SPECIES,london31May2023
101,1798971,Lepidoptera,Noctuidae,Orthosia,Orthosia populeti,Orthosia populeti,99,ACCEPTED,EXACT,SPECIES,london31May2023
102,4534461,Lepidoptera,Noctuidae,Pabulatrix,Pabulatrix pabulatricula,Pabulatrix pabulatricula,99,ACCEPTED,EXACT,SPECIES,london31May2023
103,7869346,Lepidoptera,Noctuidae,Pachetra,Pachetra sagittigera,Pachetra sagittigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
104,1799799,Lepidoptera,Noctuidae,Panemeria,Panemeria tenebrata,Panemeria tenebrata,99,ACCEPTED,EXACT,SPECIES,london31May2023
105,1793877,Lepidoptera,Noctuidae,Panolis,Panolis flammea,Panolis flammea,99,ACCEPTED,EXACT,SPECIES,london31May2023
106,1788917,Lepidoptera,Noctuidae,Papestra,Papestra biren,Papestra biren,99,ACCEPTED,EXACT,SPECIES,london31May2023
107,1796217,Lepidoptera,Noctuidae,Parastichtis,Parastichtis suspecta,Parastichtis suspecta,98,ACCEPTED,EXACT,SPECIES,london31May2023
108,1792996,Lepidoptera,Noctuidae,Peridroma,Peridroma saucia,Peridroma saucia,99,ACCEPTED,EXACT,SPECIES,london31May2023
109,11136655,Lepidoptera,Noctuidae,Perigea,Perigea capensis,Perigea capensis,99,ACCEPTED,EXACT,SPECIES,london31May2023
110,6097260,Lepidoptera,Noctuidae,Periphanes,Periphanes delphinii,Periphanes delphinii,98,ACCEPTED,EXACT,SPECIES,london31May2023
111,1782560,Lepidoptera,Noctuidae,Phlogophora,Phlogophora meticulosa,Phlogophora meticulosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
112,1792379,Lepidoptera,Noctuidae,Photedes,Photedes captiuncula,Photedes captiuncula,99,ACCEPTED,EXACT,SPECIES,london31May2023
